,id,timestamp,Active_Energy_+_Total_ini,Active_Energy_+_Total_end,Active_Energy_+_Incr,Active_Energy_-_Total_ini,Active_Energy_-_Total_end,Active_Energy_-_Incr,Average_voltage_L1,Average_voltage_L2,Average_voltage_L3,Average_current_L1,Average_current_L2,Average_current_L3,L1_Average_Active_Power,L2_Average_Active_Power,L3_Average_Active_Power,L1_Average_Reactive_Power,L2_Average_Reactive_Power,L3_Average_Reactive_Power
7928,BBB6004,2019-08-24T00:15:00Z,170565054.00000003,170566543.0,1495.0,55390104.00000001,55390104.00000001,0.0,238.00486033519542,239.4269832402234,240.38184357541903,,,,,,,,,
7929,BBB6004,2019-08-24T00:30:00Z,170566550.00000003,170568036.00000003,1493.0000000298023,55390104.00000001,55390104.00000001,0.0,238.15877777777783,239.5623888888888,240.55827777777785,,,,,,,,,
7930,BBB6004,2019-08-24T00:45:00Z,170568046.00000003,170569571.00000003,1535.0,55390104.00000001,55390104.00000001,0.0,236.9587777777777,238.33838888888883,239.60905555555559,,,,,,,,,
7931,BBB6004,2019-08-24T01:00:00Z,170569581.0,170571071.00000003,1500.0,55390104.00000001,55390104.00000001,0.0,237.0902777777777,238.09133333333338,239.43044444444448,,,,,,,,,
7932,BBB6004,2019-08-24T01:15:00Z,170571081.0,170572553.0,1481.9999999701977,55390104.00000001,55390104.00000001,0.0,237.05883333333327,238.25400000000033,239.4350555555555,,,,,,,,,
7933,BBB6004,2019-08-24T01:30:00Z,170572563.00000003,170574034.0,1481.0,55390104.00000001,55390104.00000001,0.0,237.1026666666668,238.22677777777778,239.45805555555555,,,,,,,,,
7934,BBB6004,2019-08-24T01:45:00Z,170574044.00000003,170575517.0,1483.0,55390104.00000001,55390104.00000001,0.0,237.03351955307267,238.2654189944134,239.43564245810063,,,,,,,,,
7935,BBB6004,2019-08-24T02:00:00Z,170575524.00000003,170576997.0,1480.0,55390104.00000001,55390104.00000001,0.0,237.00827777777778,238.26083333333344,239.43344444444435,,,,,,,,,
7936,BBB6004,2019-08-24T02:15:00Z,170577006.99999997,170578474.00000003,1477.0000000298023,55390104.00000001,55390104.00000001,0.0,236.73833333333317,237.84844444444445,239.0697777777779,,,,,,,,,
7937,BBB6004,2019-08-24T02:30:00Z,170578484.00000003,170579954.00000003,1480.0,55390104.00000001,55390104.00000001,0.0,236.99802259887005,238.14734463276812,239.3736158192091,,,,,,,,,
7938,BBB6004,2019-08-24T02:45:00Z,170579963.00000003,170581546.00000003,1592.0,55390104.00000001,55390104.00000001,0.0,236.54049999999992,238.30883333333335,239.62122222222223,,,,,,,,,
7939,BBB6004,2019-08-24T03:00:00Z,170581553.0,170583142.0,1595.9999999701977,55390104.00000001,55390104.00000001,0.0,236.80211111111115,238.5370555555554,239.9203888888889,,,,,,,,,
7940,BBB6004,2019-08-24T03:15:00Z,170583155.0,170584623.00000003,1481.0000000298023,55390104.00000001,55390104.00000001,0.0,236.85583333333355,237.9667222222222,239.30694444444433,,,,,,,,,
7941,BBB6004,2019-08-24T03:30:00Z,170584633.0,170586100.0,1476.9999999701977,55390104.00000001,55390104.00000001,0.0,236.8276111111111,237.88322222222217,239.15555555555542,,,,,,,,,
7942,BBB6004,2019-08-24T03:45:00Z,170586110.00000003,170587574.00000003,1474.0000000298023,55390104.00000001,55390104.00000001,0.0,236.5073333333335,237.5056666666666,238.82038888888889,,,,,,,,,
7943,BBB6004,2019-08-24T04:00:00Z,170587584.00000003,170589050.00000003,1476.0,55390104.00000001,55390104.00000001,0.0,236.38538888888894,237.44449999999998,238.72255555555563,,,,,,,,,
7944,BBB6004,2019-08-24T04:15:00Z,170589057.0,170590521.0,1470.9999999701977,55390104.00000001,55390104.00000001,0.0,236.18357541899434,237.26134078212286,238.46865921787702,,,,,,,,,
7945,BBB6004,2019-08-24T04:30:00Z,170590528.00000003,170591194.00000003,673.0000000298023,55390104.00000001,55390104.00000001,0.0,237.437142857143,238.40434285714304,239.61451428571434,,,,,,,,,
7946,BBB6004,2019-08-24T04:45:00Z,170591197.0,170591523.00000003,329.0,55390104.00000001,55390104.00000001,0.0,238.21272222222225,239.31377777777774,240.34683333333342,,,,,,,,,
7947,BBB6004,2019-08-24T05:00:00Z,170591524.00000003,170591840.0,316.9999999701977,55390104.00000001,55390104.00000001,0.0,237.78133333333338,238.96883333333332,239.7792777777777,,,,,,,,,
7948,BBB6004,2019-08-24T05:15:00Z,170591842.0,170592151.0,311.0,55390104.00000001,55390104.00000001,0.0,236.7777777777777,237.66905555555556,238.57105555555543,,,,,,,,,
7949,BBB6004,2019-08-24T05:30:00Z,170592152.0,170592449.00000003,298.0000000298023,55390104.00000001,55390104.00000001,0.0,236.09888888888875,237.0208333333333,237.67811111111106,,,,,,,,,
7950,BBB6004,2019-08-24T05:45:00Z,170592450.0,170592709.00000003,260.0,55390104.00000001,55390104.00000001,0.0,235.8692222222223,236.9045555555555,237.37294444444436,,,,,,,,,
7951,BBB6004,2019-08-24T06:00:00Z,170592711.0,170592944.00000003,235.0,55390104.00000001,55390104.00000001,0.0,235.79338888888896,236.9201111111111,237.1565555555555,,,,,,,,,
7952,BBB6004,2019-08-24T06:15:00Z,170592945.0,170594039.00000003,1095.0,55390104.00000001,55390104.00000001,0.0,234.95727777777782,235.85905555555553,235.93599999999998,,,,,,,,,
7953,BBB6004,2019-08-24T06:30:00Z,170594044.00000003,170595439.0,1399.9999999701977,55390104.00000001,55390104.00000001,0.0,235.31972222222228,236.23177777777775,236.1973888888889,,,,,,,,,
7954,BBB6004,2019-08-24T06:45:00Z,170595448.0,170596784.0,1345.0,55390104.00000001,55390104.00000001,0.0,237.35161111111108,238.20300000000017,237.8781666666668,,,,,,,,,
7955,BBB6004,2019-08-24T07:00:00Z,170596790.0,170598087.0,1303.0,55390104.00000001,55390104.00000001,0.0,237.20050000000003,237.97999999999993,237.5941111111111,,,,,,,,,
7956,BBB6004,2019-08-24T07:15:00Z,170598094.0,170599291.00000003,1204.0000000298023,55390104.00000001,55390104.00000001,0.0,236.492111111111,237.30216666666658,236.48027777777764,,,,,,,,,
7957,BBB6004,2019-08-24T07:30:00Z,170599296.00000003,170600407.0,1115.9999999701977,55390104.00000001,55390104.00000001,0.0,236.83355555555573,237.8651666666666,236.56166666666687,,,,,,,,,
7958,BBB6004,2019-08-24T07:45:00Z,170600411.99999997,170601435.0,1028.0,55390104.00000001,55390104.00000001,0.0,236.44755555555562,237.68977777777766,235.92344444444458,,,,,,,,,
7959,BBB6004,2019-08-24T08:00:00Z,170601439.0,170602396.0,961.0,55390104.00000001,55390104.00000001,0.0,235.90005555555553,237.17044444444448,234.87966666666668,,,,,,,,,
7960,BBB6004,2019-08-24T08:15:00Z,170602400.0,170603289.00000003,893.0000000298023,55390104.00000001,55390104.00000001,0.0,235.72383333333343,236.999111111111,234.36166666666665,,,,,,,,,
7961,BBB6004,2019-08-24T08:30:00Z,170603292.0,170604131.00000003,842.0,55390104.00000001,55390104.00000001,0.0,235.89783333333312,237.13188888888882,234.28172222222233,,,,,,,,,
7962,BBB6004,2019-08-24T08:45:00Z,170604134.00000003,170604941.00000003,810.0,55390104.00000001,55390104.00000001,0.0,236.46233333333313,237.58016666666654,234.54666666666648,,,,,,,,,
7963,BBB6004,2019-08-24T09:00:00Z,170604946.00000003,170605697.0,755.9999999701977,55390104.00000001,55390104.00000001,0.0,236.15483333333339,237.26433333333338,234.14905555555552,,,,,,,,,
7964,BBB6004,2019-08-24T09:15:00Z,170605702.0,170606380.0,683.0,55390104.00000001,55390104.00000001,0.0,235.36616666666657,236.68511111111104,233.3877222222221,,,,,,,,,
